id_bien;surface_carrez;type_local;surface_reelle;nombre_pieces;surface_terrain;voie;commune_id
15207;32.27;Appartement;32;2;;DE L AIGAS;1980
15208;55.8;Appartement;62;3;;DE PARIS;1985
15209;33.46;Appartement;45;1;;VICTOR HUGO;1980
15210;81.53;Appartement;89;4;;DE LA POMME;1980
15211;84.15;Appartement;84;4;;CHARLES DE GAULLE;1980
15212;49.91;Appartement;50;2;;DE VERDUN;1980
15213;80;Maison;80;4;;LOUIS JUTTET;1986
15214;51.22;Appartement;51;2;;DE LA REPUBLIQUE;1986
15215;67.86;Appartement;67;2;;DES CLOTS;1986
15216;123.33;Appartement;90;3;;DES GLYCINES;1987
15217;69.47;Appartement;69;3;;GRANDE RUE;1975
15218;15.2;Appartement;23;1;;DU PORT;1976
15219;43.28;Appartement;45;3;;DE FINALE EN EMILIE;1988
15220;34.75;Appartement;35;2;;EDOUARD MILLAUD;1979
15221;53.57;Appartement;53;2;;DE LA PAIX;1981
15222;19;Appartement;19;1;;DU MATHIAS;1989
15223;75.19;Appartement;74;4;;EISENHOWER;1980
15224;44.92;Appartement;44;2;;LAMARTINE;1990
15225;63.17;Appartement;62;3;;DES GDES TERRES;1975
15226;197;Appartement;150;5;;JOSEPH VOLAY;1991
15227;84.9;Appartement;84;4;;DE LA MADONE;1992
15228;51.91;Appartement;51;2;;PIERRE SEMARD;1985
15229;25.78;Appartement;26;1;;PORTE DE LYON;1978
15230;69.01;Appartement;67;4;;RAYMOND DE VEYSSIERES;1977
15231;64.42;Appartement;63;3;;DES LAURIERS;1993
15232;97.65;Appartement;90;3;;DU VIEUX CHATEAU;1975
15233;90.65;Appartement;111;5;;JACQUES COEUR;1994
15234;92.02;Appartement;92;4;;DU BARAILLON;1980
15235;61.04;Appartement;61;3;;DU CHATER;1975
15236;44.08;Appartement;44;2;;DE LA CHAPELLE DE BEL AIR;1975
15237;44.39;Appartement;44;2;;NATIONALE 7;1992
15238;77.25;Appartement;80;4;;DE LA POTERNE;1995
15239;100.12;Appartement;99;4;;DE CALABERT;1977
15240;51.4;Appartement;52;2;;CHARLES MACHET;1989
15241;19.85;Appartement;19;1;;DE GRANDVAUX;1977
15242;49.96;Appartement;54;2;;DES GASSES;1996
15243;85.29;Appartement;86;4;;FRANCOIS MERMET;1980
15244;75.73;Appartement;75;3;;JEAN BERGERON;1979
15245;94.78;Appartement;94;4;;MATHIEU MISERY;1980
15246;40.32;Appartement;43;2;;DU 11 NOVEMBRE 1918;1979
15247;65.41;Appartement;65;3;;GEN DE GAULLE;1990
15248;107.75;Appartement;107;4;;DE LA REPUBLIQUE;1980
15249;53.25;Appartement;52;3;;DES GRENADIERES;1997
15250;98.07;Appartement;118;6;;DE LA MAIRIE;1976
15251;39.7;Appartement;40;1;;DE LA RAUDE;1980
15252;66.68;Appartement;67;3;;DE CHANTEMALE;1976
15253;45.33;Appartement;44;2;;JEAN MARIE VIANNEY;1977
